mass,up_unc,down_unc
0.3019,0.2497,0.2497
0.3045,0.2495,0.2495
0.3071,0.2493,0.2493
0.3098,0.249,0.249
0.3125,0.2488,0.2487
0.3152,0.2484,0.2484
0.3179,0.2481,0.2481
0.3207,0.2477,0.2477
0.3234,0.2473,0.2473
0.3262,0.2469,0.2469
0.3291,0.2464,0.2464
0.3319,0.2459,0.2459
0.3348,0.2454,0.2453
0.3377,0.2448,0.2447
0.3406,0.2442,0.2441
0.3435,0.2434,0.2434
0.3465,0.2427,0.2426
0.3495,0.2418,0.2418
0.3525,0.2409,0.2408
0.3556,0.2399,0.2398
0.3586,0.2388,0.2387
0.3617,0.2375,0.2374
0.3649,0.2361,0.236
0.368,0.2346,0.2345
0.3712,0.2328,0.2327
0.3744,0.231,0.2308
0.3777,0.229,0.2288
0.3809,0.227,0.2269
0.3842,0.2262,0.226
0.3876,0.2379,0.2376
0.3909,0.2557,0.2554
0.3943,0.2774,0.2771
0.3977,0.2769,0.2766
0.4011,0.2764,0.2761
0.4046,0.2758,0.2755
0.4081,0.2751,0.2748
0.4116,0.2744,0.2741
0.4152,0.2737,0.2734
0.4188,0.2729,0.2725
0.4224,0.272,0.2717
0.4261,0.2711,0.2708
0.4297,0.2701,0.2698
0.4335,0.2691,0.2687
0.4372,0.268,0.2676
0.441,0.2668,0.2664
0.4448,0.2655,0.2651
0.4487,0.2641,0.2638
0.4525,0.2627,0.2623
0.4565,0.2611,0.2607
0.4604,0.2594,0.259
0.4644,0.2576,0.2571
0.4684,0.2556,0.2551
0.4725,0.2535,0.253
0.4765,0.2512,0.2506
0.4807,0.2487,0.2481
0.4848,0.246,0.2454
0.489,0.2431,0.2425
0.4932,0.2402,0.2395
0.4975,0.2374,0.2366
0.5018,0.2356,0.2346
0.5062,0.2378,0.2367
0.5105,0.2805,0.2792
0.5149,0.2805,0.2793
0.5194,0.2805,0.2793
0.5239,0.2805,0.2793
0.5284,0.2806,0.2793
0.533,0.2806,0.2793
0.5376,0.2806,0.2793
0.5423,0.2806,0.2794
0.5469,0.2806,0.2794
0.5517,0.2806,0.2794
0.5565,0.2807,0.2794
0.5613,0.2807,0.2794
0.5661,0.2807,0.2794
0.571,0.2807,0.2795
0.576,0.2807,0.2795
0.5809,0.2808,0.2795
0.586,0.2808,0.2795
0.591,0.2808,0.2795
0.5961,0.2808,0.2795
0.6013,0.2808,0.2796
0.6065,0.2808,0.2796
0.6117,0.2808,0.2796
0.617,0.2809,0.2796
0.6224,0.2809,0.2796
0.6278,0.2809,0.2796
0.6332,0.2809,0.2797
0.6387,0.281,0.2797
0.6442,0.281,0.2797
0.6498,0.281,0.2797
0.6554,0.281,0.2797
0.661,0.281,0.2797
0.6668,0.281,0.2798
0.6725,0.281,0.2798
0.6784,0.281,0.2798
0.6842,0.2811,0.2798
0.6901,0.2811,0.2798
0.6961,0.2811,0.2798
0.7021,0.2811,0.2798
0.7082,0.2811,0.2799
0.7143,0.2812,0.2799
0.7205,0.2812,0.2799
0.7267,0.2812,0.28
0.733,0.2812,0.28
0.7394,0.2813,0.28
0.7458,0.2813,0.28
0.7522,0.2813,0.28
0.7587,0.2813,0.28
0.7653,0.2813,0.28
0.7719,0.2813,0.2801
0.7786,0.2813,0.2801
0.7853,0.2814,0.2801
0.7921,0.2814,0.2801
0.799,0.2814,0.2802
0.8059,0.2814,0.2802
0.8128,0.2815,0.2802
0.8199,0.2815,0.2802
0.827,0.2815,0.2803
0.8341,0.2815,0.2803
0.8413,0.2816,0.2803
0.8486,0.2816,0.2803
0.8559,0.2816,0.2803
0.8633,0.2816,0.2804
0.8708,0.2816,0.2804
0.8783,0.2817,0.2804
0.8859,0.2817,0.2804
0.8936,0.2817,0.2805
0.9013,0.2817,0.2805
0.9091,0.2818,0.2805
0.917,0.2818,0.2805
0.9249,0.2818,0.2805
0.9329,0.2818,0.2806
0.941,0.2818,0.2806
0.9491,0.2819,0.2806
0.9573,0.2819,0.2807
0.9656,0.2819,0.2807
0.974,0.282,0.2807
0.9824,0.282,0.2807
0.9909,0.282,0.2808
0.9995,0.2821,0.2808
1.0081,0.2821,0.2809
1.0168,0.2822,0.2809
1.0256,0.2822,0.2809
1.0345,0.2822,0.2809
1.0435,0.2822,0.2809
1.0525,0.2822,0.2809
1.0616,0.2822,0.2809
1.0708,0.2822,0.281
1.08,0.2823,0.281
1.0894,0.2823,0.281
1.0988,0.2823,0.281
1.1083,0.2823,0.281
1.1179,0.2823,0.2811
1.1276,0.2823,0.2811
1.1373,0.2823,0.2811
1.1471,0.2823,0.2811
1.1571,0.2823,0.2811
1.1671,0.2823,0.2811
1.1772,0.2823,0.281
1.1873,0.2823,0.281
1.1976,0.2823,0.281
1.208,0.2822,0.281
1.2184,0.2822,0.2809
1.229,0.2822,0.2809
1.2396,0.2821,0.2808
1.2503,0.282,0.2808
1.2611,0.282,0.2807
1.272,0.2819,0.2806
1.283,0.2818,0.2805
1.2941,0.2817,0.2804
1.3053,0.2816,0.2803
1.3166,0.2815,0.2802
1.328,0.2813,0.28
1.3395,0.2812,0.2799
1.3511,0.281,0.2797
1.3628,0.2808,0.2795
1.3746,0.2806,0.2793
1.3865,0.2803,0.279
1.3984,0.28,0.2787
1.4105,0.2796,0.2783
1.4227,0.2792,0.2778
1.435,0.2787,0.2773
1.4475,0.278,0.2767
1.46,0.2772,0.2759
1.4726,0.2763,0.2749
1.4853,0.275,0.2736
1.4982,0.2732,0.2718
1.5112,0.2705,0.269
1.5242,0.266,0.2644
1.5374,0.2557,0.2535
1.5507,0.257,0.1963
1.5641,0.2581,0.1958
1.5776,0.2594,0.1954
1.5913,0.2607,0.1947
1.6051,0.2613,0.1934
1.6189,0.2621,0.1921
1.6329,0.2632,0.1908
1.6471,0.2645,0.1894
1.6613,0.2659,0.1877
1.6757,0.2673,0.1856
1.6902,0.268,0.1827
1.7048,0.2689,0.1795
1.7195,0.2701,0.1757
1.7344,0.2719,0.1717
1.7494,0.2752,0.1674
1.7646,0.2791,0.162
1.7798,0.2844,0.1555
