mass charge yield
5.5 0.05 0.1192517948150635
5.5 0.06 0.1358363067626953
5.5 0.07 0.16393489227294925
5.5 0.08 0.22760263671875
5.5 0.09 0.27677315368652344
5.5 0.093 0.3140034653320313
5.5 0.095 0.31481838121414185
5.5 0.1 0.14247440338134768
5.5 0.13 0.5896030178070069
5.5 0.15 0.6568603706359863
5.5 0.17 0.8025660221099855
5.5 0.2 0.5699760055541994
5.5 0.3 1.9224692344665526
6.0 0.01 0.0304940673828125
6.0 0.02 0.09172286376953126
6.0 0.03 0.10458796234130859
6.0 0.04 0.10798079833984375
6.0 0.05 0.11249691963195803
6.0 0.06 0.14851018981933595
6.0 0.07 0.1776281402587891
6.0 0.08 0.23603071289062502
6.0 0.09 0.2885807304382324
6.0 0.093 0.30278514379119875
6.0 0.095 0.33847688522338865
6.0 0.1 0.2999918365478516
6.0 0.13 0.5070112174987793
6.0 0.15 0.7448062705993652
6.0 0.17 0.7947770650863649
6.0 0.2 0.9250137329101564
6.0 0.3 0.562815899848938
6.5 0.01 0.028257156372070314
6.5 0.02 0.08467257080078125
6.5 0.03 0.09701444091796875
6.5 0.04 0.09828706665039064
6.5 0.05 0.10891443252563479
6.5 0.06 0.10455994033813476
6.5 0.07 0.1477735130310059
6.5 0.08 0.20018544921875
6.5 0.09 0.23075416660308837
6.5 0.093 0.23669110074806216
6.5 0.095 0.2923463914871216
6.5 0.1 0.26812141418457036
6.5 0.13 0.3491355916976929
6.5 0.15 0.5776078748703003
6.5 0.17 0.6779121168136598
6.5 0.2 1.1615782165527346
6.5 0.3 1.0045745658874512
7.0 0.01 0.027697418212890627
7.0 0.02 0.08304381713867189
7.0 0.03 0.10528087005615235
7.0 0.04 0.10127458496093751
7.0 0.05 0.09874282836914064
7.0 0.06 0.12031923065185547
7.0 0.07 0.14887123908996583
7.0 0.08 0.19119433593750002
7.0 0.09 0.23363638343811033
7.0 0.093 0.2627855313835144
7.0 0.095 0.27880204038619993
7.0 0.1 0.25319927215576177
7.0 0.13 0.30813150768280034
7.0 0.15 0.5469870471954346
7.0 0.17 0.48299807415008555
7.0 0.2 0.7496295166015626
7.0 0.3 3.1906827163696287
8.0 0.01 0.024340759277343752
8.0 0.02 0.07405556640625001
8.0 0.03 0.0928405288696289
8.0 0.04 0.09184708251953125
8.0 0.05 0.10143276214599611
8.0 0.06 0.12274494323730469
8.0 0.07 0.15647877769470217
8.0 0.08 0.18782860107421875
8.0 0.09 0.24122145080566404
8.0 0.093 0.23888817519378663
8.0 0.095 0.25315148410797117
8.0 0.1 0.2028845596313477
8.0 0.13 0.42280770759582526
8.0 0.15 0.4952971458435058
8.0 0.17 0.4613357798576356
8.0 0.2 0.794028015136719
8.0 0.3 1.9420803451538085
9.0 0.001 0.0
9.0 0.003 0.00010294811725616455
9.0 0.004 0.0003664822387695312
9.0 0.005 0.0014315244674682618
9.0 0.006 0.003846636749267578
9.0 0.007 0.008226843246459961
9.0 0.008 0.011966201171875
9.0 0.009 0.015143816162109374
9.0 0.01 0.02141419372558594
9.0 0.02 0.06946145019531251
9.0 0.03 0.08004636611938476
9.0 0.04 0.0744970947265625
9.0 0.05 0.08206434249877931
9.0 0.06 0.10026889343261719
9.0 0.07 0.11782363128662111
9.0 0.08 0.136784375
9.0 0.09 0.1824049123764038
9.0 0.093 0.17495803181648256
9.0 0.095 0.2032438648223877
9.0 0.1 0.20995624542236332
9.0 0.13 0.41281581726074223
9.0 0.15 0.36922555446624755
9.0 0.2 0.763685989379883
9.0 0.3 2.7489789390563963
10.0 0.01 0.02022344970703125
10.0 0.02 0.0654947509765625
10.0 0.03 0.08524804229736328
10.0 0.04 0.070515771484375
10.0 0.05 0.07634339332580568
10.0 0.06 0.08119525451660156
10.0 0.07 0.09012924041748048
10.0 0.08 0.12437617187500001
10.0 0.09 0.14897943477630615
10.0 0.093 0.15608384210014345
10.0 0.095 0.16912899713516236
10.0 0.1 0.19770097732543948
10.0 0.13 0.3631749038696289
10.0 0.15 0.36682671546936035
10.0 0.17 0.4111867931365968
10.0 0.2 0.5690647506713868
10.0 0.3 1.5616862869262695
12.0 0.01 0.019526498413085937
12.0 0.02 0.0612337158203125
12.0 0.03 0.07340527496337891
12.0 0.04 0.06645223388671875
12.0 0.05 0.06061758995056153
12.0 0.06 0.07855651702880859
12.0 0.07 0.09355501976013185
12.0 0.08 0.1202478271484375
12.0 0.09 0.13989511470794677
